Dataset,Sampler,Classifier,AUPRC_mean,AUPRC_std,Accuracy_mean,Accuracy_std,AUC_mean,AUC_std,F1_mean,F1_std
mammography,None,KNN,0.4081211591269705,5.551115123125783e-17,0.9856951274027714,1.1102230246251565e-16,0.90734905826439,0.0,0.6,0.0
mammography,None,RF,0.42652596967566214,0.0,0.9861421546714351,1.1102230246251565e-16,0.9661547262805843,1.1102230246251565e-16,0.6172839506172839,0.0
mammography,None,LR,0.18439376093779655,0.0,0.9043361645060347,1.1102230246251565e-16,0.9669864460482309,0.0,0.3184713375796178,0.0
mammography,None,DT,0.36135477251589987,0.0,0.9825659365221279,0.0,0.7028956169688436,0.0,0.5894736842105263,0.0
mammography,None,SVM,0.2952165349534106,0.0,0.9521680822530174,0.0,0.9725400457665904,0.0,0.4729064039408867,0.0
mammography,None,GBM,0.49572360503059515,5.551115123125783e-17,0.9874832364774251,0.0,0.9776887871853548,0.0,0.6888888888888889,0.0
mammography,None,XGBoost,0.5684968994647136,0.0,0.9892713455520786,0.0,0.9654110191867631,1.1102230246251565e-16,0.7446808510638298,0.0
mammography,EasyEnsembleClassifier,EasyEnsembleClassifier,0.1784514072303387,0.0,0.8967367009387572,0.0,0.9377530364372471,0.0,0.3063063063063063,0.0
mammography,EditedNearestNeighbours,KNN,0.42007133332569174,5.551115123125783e-17,0.9843540455967814,0.0,0.9255544798450976,1.1102230246251565e-16,0.6391752577319587,0.0
mammography,EditedNearestNeighbours,RF,0.4319734366835776,0.0,0.9852481001341081,0.0,0.968583876078155,1.1102230246251565e-16,0.6451612903225806,0.0
mammography,EditedNearestNeighbours,LR,0.17508580481603359,0.0,0.8980777827447476,1.1102230246251565e-16,0.9665199788769583,0.0,0.3048780487804878,0.0
mammography,EditedNearestNeighbours,DT,0.3518100376506321,0.0,0.9789897183728208,0.0,0.763034676993487,0.0,0.584070796460177,0.0
mammography,EditedNearestNeighbours,SVM,0.28400270976059183,0.0,0.9494859186410372,0.0,0.9801531420524556,0.0,0.45933014354066987,0.0
mammography,EditedNearestNeighbours,GBM,0.47118751647696666,0.0,0.9856951274027714,1.1102230246251565e-16,0.9803423693011792,0.0,0.68,0.0
mammography,EditedNearestNeighbours,XGBoost,0.4768290354035772,0.0,0.9848010728654447,1.1102230246251565e-16,0.9729889104030981,0.0,0.6851851851851852,0.0
mammography,CondensedNearestNeighbour,KNN,0.47118751647696666,0.0,0.9856951274027714,1.1102230246251565e-16,0.9422988910403098,0.0,0.68,0.0
mammography,CondensedNearestNeighbour,RF,0.5263832055293833,0.0,0.9874832364774251,0.0,0.979409434958634,0.0,0.72,0.0
mammography,CondensedNearestNeighbour,LR,0.19496321892156834,0.0,0.9262405006705409,0.0,0.9589420876606232,0.0,0.35294117647058826,0.0
mammography,CondensedNearestNeighbour,DT,0.26015918057958054,0.0,0.9602145730889584,0.0,0.8271299067065657,0.0,0.46706586826347307,0.0
mammography,CondensedNearestNeighbour,SVM,0.4029971102184984,0.0,0.9713902548055431,0.0,0.9716159126914276,0.0,0.5949367088607594,0.0
mammography,CondensedNearestNeighbour,GBM,0.5129923912784716,0.0,0.9865891819400984,0.0,0.9775963738778384,0.0,0.7115384615384616,0.0
mammography,CondensedNearestNeighbour,XGBoost,0.5648048866645201,0.0,0.9879302637460885,0.0,0.9701461010385495,0.0,0.7476635514018691,0.0
mammography,RepeatedEditedNearestNeighbours,KNN,0.41919695562967807,5.551115123125783e-17,0.983907018328118,0.0,0.9349806372117586,1.1102230246251565e-16,0.64,0.0
mammography,RepeatedEditedNearestNeighbours,RF,0.435887552641496,0.0,0.9843540455967814,0.0,0.9693319838056681,1.1102230246251565e-16,0.6534653465346535,0.0
mammography,RepeatedEditedNearestNeighbours,LR,0.17445695373199493,0.0,0.8976307554760841,0.0,0.9662911459250132,0.0,0.303951367781155,0.0
mammography,RepeatedEditedNearestNeighbours,DT,0.349015294113543,0.0,0.9772016092981672,0.0,0.7869037141348354,0.0,0.5785123966942148,0.0
mammography,RepeatedEditedNearestNeighbours,SVM,0.2787111859977305,0.0,0.9481448368350469,0.0,0.9797790881886991,0.0,0.4528301886792453,0.0
mammography,RepeatedEditedNearestNeighbours,GBM,0.4853767377012795,0.0,0.9852481001341081,0.0,0.9780364372469637,1.1102230246251565e-16,0.6915887850467289,0.0
mammography,RepeatedEditedNearestNeighbours,XGBoost,0.49376481562444907,0.0,0.9843540455967814,0.0,0.9783664847738074,0.0,0.6956521739130435,0.0
mammography,AllKNN,KNN,0.42007133332569174,5.551115123125783e-17,0.9843540455967814,0.0,0.9250132019010737,0.0,0.6391752577319587,0.0
mammography,AllKNN,RF,0.45649299292571544,5.551115123125783e-17,0.9856951274027714,1.1102230246251565e-16,0.962946664319662,0.0,0.6666666666666666,0.0
mammography,AllKNN,LR,0.17445695373199493,0.0,0.8976307554760841,0.0,0.9663791585988382,0.0,0.303951367781155,0.0
mammography,AllKNN,DT,0.33939794677421153,0.0,0.9763075547608404,0.0,0.7864372469635628,0.0,0.5691056910569106,0.0
mammography,AllKNN,SVM,0.2804528405695737,0.0,0.9485918641037102,1.1102230246251565e-16,0.9798010913571552,1.1102230246251565e-16,0.4549763033175355,0.0
mammography,AllKNN,GBM,0.46173565881082324,0.0,0.9852481001341081,0.0,0.9789605703221265,0.0,0.6732673267326733,0.0
mammography,AllKNN,XGBoost,0.5101216993202102,0.0,0.9856951274027714,1.1102230246251565e-16,0.9802851610631931,1.1102230246251565e-16,0.7090909090909091,0.0
mammography,InstanceHardnessThreshold,KNN,0.051865153597775625,0.0,0.6714349575324094,0.0,0.7596637915859884,0.0,0.10692588092345079,0.0
mammography,InstanceHardnessThreshold,RF,0.05690794101612161,6.938893903907228e-18,0.6714349575324094,0.0,0.7191295546558705,0.0,0.11338962605548855,1.3877787807814457e-17
mammography,InstanceHardnessThreshold,LR,0.17571922936250162,0.0,0.8985248100134108,0.0,0.9710702341137123,0.0,0.3058103975535168,0.0
mammography,InstanceHardnessThreshold,DT,0.05435877957125466,6.938893903907228e-18,0.6544479213232007,0.0,0.7761793698292554,0.0,0.10841983852364476,0.0
mammography,InstanceHardnessThreshold,SVM,0.05620982634249925,0.0,0.62136790344211,0.0,0.9277063897201197,0.0,0.10748155953635405,1.3877787807814457e-17
mammography,InstanceHardnessThreshold,GBM,0.05451949825186274,0.0,0.6669646848457756,0.0,0.8780628410491109,1.1102230246251565e-16,0.10991636798088411,0.0
mammography,InstanceHardnessThreshold,XGBoost,0.0577321650187095,0.0,0.6656236030397854,0.0,0.9521387079739483,0.0,0.11374407582938388,0.0
mammography,NearMiss,KNN,0.032717498732683245,0.0,0.3294590970049173,0.0,0.6473640204189404,0.0,0.06367041198501873,0.0
mammography,NearMiss,RF,0.03273833183240178,0.0,0.3299061242735807,0.0,0.6887519802851612,0.0,0.0637101811367895,0.0
mammography,NearMiss,LR,0.03322502908336245,0.0,0.34018775145283864,0.0,0.6366484773807428,0.0,0.06463878326996197,0.0
mammography,NearMiss,DT,0.0328219339154147,0.0,0.3316942333482342,0.0,0.6485081851786658,0.0,0.06386975579211021,0.0
mammography,NearMiss,SVM,0.0328009928373767,0.0,0.33124720607957087,0.0,0.802886815701461,0.0,0.06382978723404255,0.0
mammography,NearMiss,GBM,0.032717498732683245,0.0,0.3294590970049173,0.0,0.6484861820102095,0.0,0.06367041198501873,0.0
mammography,NearMiss,XGBoost,0.033289595075118264,0.0,0.34152883325882877,0.0,0.6535425101214576,0.0,0.06476190476190476,0.0
mammography,NeighbourhoodCleaningRule,KNN,0.4714068034111619,0.0,0.9865891819400984,0.0,0.9355923252948426,1.1102230246251565e-16,0.6739130434782609,0.0
mammography,NeighbourhoodCleaningRule,RF,0.4536215821591153,5.551115123125783e-17,0.9861421546714351,1.1102230246251565e-16,0.9702737194155958,0.0,0.6593406593406593,0.0
mammography,NeighbourhoodCleaningRule,LR,0.17764744820248515,0.0,0.899865891819401,0.0,0.9670304523851435,0.0,0.30864197530864196,0.0
mammography,NeighbourhoodCleaningRule,DT,0.391335615504376,0.0,0.9812248547161377,0.0,0.7766018306636155,0.0,0.6181818181818182,0.0
mammography,NeighbourhoodCleaningRule,SVM,0.27361444225068,0.0,0.9468037550290568,0.0,0.9721703925365253,0.0,0.44651162790697674,0.0
mammography,NeighbourhoodCleaningRule,GBM,0.47780501423773664,0.0,0.9865891819400984,0.0,0.9785953177257525,0.0,0.6808510638297872,0.0
mammography,NeighbourhoodCleaningRule,XGBoost,0.5729773770517113,0.0,0.9888243182834152,1.1102230246251565e-16,0.9790089772927303,0.0,0.7524752475247525,0.0
mammography,OneSidedSelection,KNN,0.44495604231858144,0.0,0.9865891819400984,0.0,0.9071686322830488,0.0,0.6341463414634146,0.0
mammography,OneSidedSelection,RF,0.3997868578420008,0.0,0.9852481001341081,0.0,0.9635847562048936,1.1102230246251565e-16,0.6024096385542169,0.0
mammography,OneSidedSelection,LR,0.1830036116468839,0.0,0.9034421099687082,1.1102230246251565e-16,0.9669864460482309,0.0,0.31645569620253167,0.0
mammography,OneSidedSelection,DT,0.33940130890566744,0.0,0.9794367456414841,0.0,0.7384659390952297,0.0,0.5740740740740741,0.0
mammography,OneSidedSelection,SVM,0.29328608478315554,0.0,0.951721054984354,0.0,0.9726808660447104,0.0,0.47058823529411764,0.0
mammography,OneSidedSelection,GBM,0.5411650775978,0.0,0.9888243182834152,1.1102230246251565e-16,0.9807780320366133,0.0,0.7191011235955056,0.0
mammography,OneSidedSelection,XGBoost,0.48924073299052856,5.551115123125783e-17,0.9870362092087618,0.0,0.9850114416475974,0.0,0.6881720430107527,0.0
mammography,RandomUnderSampler,KNN,0.2536529775605089,0.0,0.9387572641931158,0.0,0.9680646013025875,0.0,0.4170212765957447,5.551115123125783e-17
mammography,RandomUnderSampler,RF,0.2708212476428838,0.0,0.9396513187304427,1.1102230246251565e-16,0.9804699876782255,1.1102230246251565e-16,0.430379746835443,5.551115123125783e-17
mammography,RandomUnderSampler,LR,0.2038545770826433,2.7755575615628914e-17,0.9186410371032633,0.0,0.9699436718887519,1.1102230246251565e-16,0.35,0.0
mammography,RandomUnderSampler,DT,0.1333710226274922,0.0,0.8833258828788557,1.1102230246251565e-16,0.8618421052631579,1.1102230246251565e-16,0.2564102564102564,0.0
mammography,RandomUnderSampler,SVM,0.3073584008518419,0.0,0.9548502458649978,0.0,0.9808308396409082,0.0,0.4873096446700508,0.0
mammography,RandomUnderSampler,GBM,0.251799945707009,0.0,0.9333929369691552,0.0,0.9812577011089598,1.1102230246251565e-16,0.40637450199203184,5.551115123125783e-17
mammography,RandomUnderSampler,XGBoost,0.2437067973500696,2.7755575615628914e-17,0.9329459097004917,0.0,0.9838760781552545,0.0,0.4,0.0
mammography,TomekLinks,KNN,0.44495604231858144,0.0,0.9865891819400984,0.0,0.9071686322830488,0.0,0.6341463414634146,0.0
mammography,TomekLinks,RF,0.4360008565417596,5.551115123125783e-17,0.9861421546714351,1.1102230246251565e-16,0.9647993311036789,0.0,0.6352941176470588,0.0
mammography,TomekLinks,LR,0.1830036116468839,0.0,0.9034421099687082,1.1102230246251565e-16,0.9669864460482309,0.0,0.31645569620253167,0.0
mammography,TomekLinks,DT,0.33940130890566744,0.0,0.9794367456414841,0.0,0.7384659390952297,0.0,0.5740740740740741,0.0
mammography,TomekLinks,SVM,0.29328608478315554,0.0,0.951721054984354,0.0,0.9726984685794754,0.0,0.47058823529411764,0.0
mammography,TomekLinks,GBM,0.5411650775978,0.0,0.9888243182834152,1.1102230246251565e-16,0.9807956345713784,1.1102230246251565e-16,0.7191011235955056,0.0
mammography,TomekLinks,XGBoost,0.48924073299052856,5.551115123125783e-17,0.9870362092087618,0.0,0.9850114416475974,0.0,0.6881720430107527,0.0
mammography,RandomOverSampler,KNN,0.37750714250774065,0.0,0.9780956638354941,1.1102230246251565e-16,0.9260121457489878,1.1102230246251565e-16,0.6016260162601627,0.0
mammography,RandomOverSampler,RF,0.519281510599914,0.0,0.9879302637460885,0.0,0.9701989086428446,1.1102230246251565e-16,0.7096774193548387,0.0
mammography,RandomOverSampler,LR,0.18369604342296583,0.0,0.9038891372373715,0.0,0.9671536701284985,0.0,0.31746031746031744,0.0
mammography,RandomOverSampler,DT,0.37041152298751756,0.0,0.9821189092534646,1.1102230246251565e-16,0.7274643548671009,0.0,0.6,0.0
mammography,RandomOverSampler,SVM,0.29915517154238713,0.0,0.9530621367903442,0.0,0.970066889632107,0.0,0.4776119402985074,5.551115123125783e-17
mammography,RandomOverSampler,GBM,0.36844866419477584,0.0,0.9669199821189093,0.0,0.9863756380918852,0.0,0.5595238095238095,0.0
mammography,RandomOverSampler,XGBoost,0.568311354492624,0.0,0.9883772910147519,0.0,0.9424133075162825,1.1102230246251565e-16,0.75,0.0
mammography,SMOTE,KNN,0.3249664445360792,0.0,0.9628967367009388,0.0,0.9410887167752156,0.0,0.5202312138728323,0.0
mammography,SMOTE,RF,0.5048358131319466,0.0,0.9834599910594546,0.0,0.9754532652701989,0.0,0.6991869918699187,0.0
mammography,SMOTE,LR,0.19017327924962238,0.0,0.907912382655342,0.0,0.969908466819222,0.0,0.32679738562091504,0.0
mammography,SMOTE,DT,0.32915641396164524,0.0,0.9722843093428699,0.0,0.8215411019186764,0.0,0.5507246376811594,0.0
mammography,SMOTE,SVM,0.31827162555817007,0.0,0.9570853822083147,0.0,0.9712550607287449,0.0,0.5,0.0
mammography,SMOTE,GBM,0.37487346292901197,0.0,0.967814036656236,0.0,0.9862744235169865,0.0,0.5662650602409639,0.0
mammography,SMOTE,XGBoost,0.5528312504116206,0.0,0.9870362092087618,0.0,0.964610103854955,1.1102230246251565e-16,0.7387387387387387,0.0
mammography,SMOTENC,KNN,0.31055507565669727,0.0,0.9633437639696021,1.1102230246251565e-16,0.9582643900721702,1.1102230246251565e-16,0.5119047619047619,0.0
mammography,SMOTENC,RF,0.5311536920835088,0.0,0.9834599910594546,0.0,0.9885011441647598,0.0,0.7131782945736435,0.0
mammography,SMOTENC,LR,0.19893603825767436,0.0,0.9097004917299956,0.0,0.9702341137123746,0.0,0.3355263157894737,0.0
mammography,SMOTENC,DT,0.37226869855669587,0.0,0.9740724184175236,1.1102230246251565e-16,0.8596769934870621,0.0,0.5857142857142857,0.0
mammography,SMOTENC,SVM,0.3506675760643568,0.0,0.9628967367009388,0.0,0.972830487590213,0.0,0.5363128491620112,0.0
mammography,SMOTENC,GBM,0.4179097931253241,0.0,0.9740724184175236,1.1102230246251565e-16,0.9863404330223553,0.0,0.6133333333333333,0.0
mammography,SMOTENC,XGBoost,0.5996119730914922,0.0,0.9888243182834152,1.1102230246251565e-16,0.9616176729449041,0.0,0.7706422018348624,0.0
mammography,SMOTEN,KNN,0.2701196257765999,0.0,0.9789897183728208,0.0,0.9122865692659744,0.0,0.5052631578947369,0.0
mammography,SMOTEN,RF,0.40059875863966166,5.551115123125783e-17,0.9848010728654447,1.1102230246251565e-16,0.9355263157894738,0.0,0.6136363636363636,0.0
mammography,SMOTEN,LR,0.1987111859977305,0.0,0.9190880643719266,1.1102230246251565e-16,0.9705861644076748,0.0,0.34657039711191334,0.0
mammography,SMOTEN,DT,0.31543402195429426,0.0,0.9789897183728208,0.0,0.7134307340256997,0.0,0.5523809523809524,0.0
mammography,SMOTEN,SVM,0.16031203351244258,0.0,0.9418864550737596,1.1102230246251565e-16,0.9155606407322654,1.1102230246251565e-16,0.3434343434343434,0.0
mammography,SMOTEN,GBM,0.31756909919480797,0.0,0.9740724184175236,1.1102230246251565e-16,0.9184694596021827,1.1102230246251565e-16,0.546875,0.0
mammography,SMOTEN,XGBoost,0.4025954286157446,0.0,0.9834599910594546,0.0,0.8956081675761307,1.1102230246251565e-16,0.6262626262626263,0.0
mammography,ADASYN,KNN,0.27763018856000526,0.0,0.951721054984354,0.0,0.9467479317021651,0.0,0.4600000000000001,5.551115123125783e-17
mammography,ADASYN,RF,0.4911149208658103,0.0,0.9825659365221279,0.0,0.9762013729977117,1.1102230246251565e-16,0.688,0.0
mammography,ADASYN,LR,0.11677081975524657,0.0,0.8301296379079124,0.0,0.9672328815349409,1.1102230246251565e-16,0.21161825726141079,0.0
mammography,ADASYN,DT,0.4010816247628942,5.551115123125783e-17,0.9785426911041574,0.0,0.8372073578595316,0.0,0.6190476190476191,0.0
