Dataset,Sampler,Classifier,AUPRC_mean,AUPRC_std,Accuracy_mean,Accuracy_std,AUC_mean,AUC_std,F1_mean,F1_std
us_crime,None,KNN,0.24548872180451128,0.0,0.9348370927318296,0.0,0.8604787714543812,0.0,0.40909090909090906,5.551115123125783e-17
us_crime,None,RF,0.31650793650793646,0.0,0.9423558897243108,1.1102230246251565e-16,0.9246612466124662,0.0,0.4888888888888888,5.551115123125783e-17
us_crime,None,LR,0.30266575529733425,0.0,0.862155388471178,1.1102230246251565e-16,0.9175248419150858,0.0,0.4859813084112149,5.551115123125783e-17
us_crime,None,DT,0.19908799777220829,0.0,0.8997493734335841,1.1102230246251565e-16,0.6855013550135501,0.0,0.3939393939393939,0.0
us_crime,None,SVM,0.36210839598997496,0.0,0.8947368421052632,0.0,0.9124661246612465,0.0,0.5531914893617021,0.0
us_crime,None,GBM,0.2913823019086177,0.0,0.9298245614035088,0.0,0.9086269196025294,0.0,0.5,0.0
us_crime,None,XGBoost,0.3766290726817042,0.0,0.9398496240601503,1.1102230246251565e-16,0.9082204155374887,1.1102230246251565e-16,0.5862068965517241,0.0
us_crime,EasyEnsembleClassifier,EasyEnsembleClassifier,0.27442833888845825,0.0,0.8220551378446115,0.0,0.873170731707317,0.0,0.4409448818897638,0.0
us_crime,EditedNearestNeighbours,KNN,0.3017543859649123,0.0,0.9248120300751881,1.1102230246251565e-16,0.8869015356820235,1.1102230246251565e-16,0.5161290322580645,0.0
us_crime,EditedNearestNeighbours,RF,0.3433341418061282,0.0,0.9323308270676691,0.0,0.9228093947606142,1.1102230246251565e-16,0.5573770491803278,0.0
us_crime,EditedNearestNeighbours,LR,0.33167919799498746,0.0,0.8646616541353384,0.0,0.9217705510388438,0.0,0.509090909090909,0.0
us_crime,EditedNearestNeighbours,DT,0.25152084757347914,0.0,0.8997493734335841,1.1102230246251565e-16,0.7467479674796749,0.0,0.4594594594594595,0.0
us_crime,EditedNearestNeighbours,SVM,0.327395954675421,0.0,0.8771929824561402,1.1102230246251565e-16,0.9167118337850045,0.0,0.5148514851485149,0.0
us_crime,EditedNearestNeighbours,GBM,0.38671679197994985,0.0,0.9248120300751881,1.1102230246251565e-16,0.9200090334236675,0.0,0.5945945945945946,0.0
us_crime,EditedNearestNeighbours,XGBoost,0.28721804511278193,0.0,0.9097744360902256,0.0,0.9161698283649503,0.0,0.5,0.0
us_crime,CondensedNearestNeighbour,KNN,0.23826232247284876,0.0,0.8997493734335841,1.1102230246251565e-16,0.900903342366757,0.0,0.4444444444444445,5.551115123125783e-17
us_crime,CondensedNearestNeighbour,RF,0.2929418139944456,0.0,0.9172932330827066,1.1102230246251565e-16,0.9296747967479675,0.0,0.5074626865671642,0.0
us_crime,CondensedNearestNeighbour,LR,0.2974380395433027,0.0,0.8822055137844611,0.0,0.8986449864498643,0.0,0.4946236559139785,0.0
us_crime,CondensedNearestNeighbour,DT,0.11696299572460563,0.0,0.7819548872180451,0.0,0.6371273712737128,0.0,0.24347826086956523,0.0
us_crime,CondensedNearestNeighbour,SVM,0.3566464237516869,0.0,0.9097744360902256,0.0,0.9290876242095754,1.1102230246251565e-16,0.5609756097560976,0.0
us_crime,CondensedNearestNeighbour,GBM,0.2755297334244703,0.0,0.9047619047619048,0.0,0.901174345076784,1.1102230246251565e-16,0.4864864864864865,0.0
us_crime,CondensedNearestNeighbour,XGBoost,0.24029668766510875,2.7755575615628914e-17,0.9072681704260651,0.0,0.8824751580849142,1.1102230246251565e-16,0.4477611940298508,5.551115123125783e-17
us_crime,RepeatedEditedNearestNeighbours,KNN,0.30781954887218044,0.0,0.9223057644110275,0.0,0.883107497741644,1.1102230246251565e-16,0.5230769230769231,0.0
us_crime,RepeatedEditedNearestNeighbours,RF,0.3245006455532771,0.0,0.9273182957393484,1.1102230246251565e-16,0.9238030713640469,1.1102230246251565e-16,0.5396825396825397,0.0
us_crime,RepeatedEditedNearestNeighbours,LR,0.32371171832019074,0.0,0.8596491228070174,1.1102230246251565e-16,0.9190605239385727,0.0,0.5,0.0
us_crime,RepeatedEditedNearestNeighbours,DT,0.3219670798618167,0.0,0.9223057644110275,0.0,0.7742547425474257,0.0,0.5373134328358209,0.0
us_crime,RepeatedEditedNearestNeighbours,SVM,0.3319298245614035,0.0,0.8796992481203008,0.0,0.9137759710930442,1.1102230246251565e-16,0.52,0.0
us_crime,RepeatedEditedNearestNeighbours,GBM,0.2949763297131718,0.0,0.9072681704260651,0.0,0.9160794941282745,1.1102230246251565e-16,0.5066666666666667,0.0
us_crime,RepeatedEditedNearestNeighbours,XGBoost,0.23754599264117743,0.0,0.8922305764411027,0.0,0.9097560975609756,0.0,0.4415584415584416,5.551115123125783e-17
us_crime,AllKNN,KNN,0.31591478696741854,0.0,0.9248120300751881,1.1102230246251565e-16,0.8837850045167117,1.1102230246251565e-16,0.53125,0.0
us_crime,AllKNN,RF,0.3017543859649123,0.0,0.9248120300751881,1.1102230246251565e-16,0.9194670280036135,0.0,0.5161290322580645,0.0
us_crime,AllKNN,LR,0.32371171832019074,0.0,0.8596491228070174,1.1102230246251565e-16,0.9196928635953027,0.0,0.5,0.0
us_crime,AllKNN,DT,0.27959000064263223,0.0,0.9122807017543859,0.0,0.7535230352303524,0.0,0.4927536231884059,5.551115123125783e-17
us_crime,AllKNN,SVM,0.327395954675421,0.0,0.8771929824561402,1.1102230246251565e-16,0.9144534778681119,1.1102230246251565e-16,0.5148514851485149,0.0
